0, 640383, 3.511256
0, 639535, 3.160305
0, 661653, 3.130766
0, 635059, 2.778716
0, 636422, 2.749178
0, 641958, 2.749178
0, 661121, 2.749178
0, 716627, 2.749178
0, 644387, 2.705270
0, 645988, 2.705270
1, 663150, 1.992906
1, 639535, 1.843616
1, 639593, 1.834356
1, 642660, 1.813836
1, 660231, 1.673397
1, 716424, 1.656309
1, 716195, 1.498210
1, 665029, 1.497758
1, 645988, 1.489085
1, 646524, 1.489085
2, 636422, 2.358341
2, 639593, 2.146859
2, 640383, 1.961529
2, 634992, 1.938343
2, 637766, 1.938343
2, 716290, 1.938343
2, 660146, 1.933403
2, 647830, 1.912862
2, 716426, 1.872768
2, 716424, 1.862096
3, 643505, 2.216724
3, 716627, 2.147629
3, 642660, 2.145082
3, 647830, 1.930542
3, 716424, 1.905654
3, 645730, 1.879708
3, 646524, 1.872917
3, 792072, 1.872917
3, 634992, 1.871974
3, 637766, 1.868121
4, 632252, 3.063595
4, 646524, 3.063595
4, 647830, 3.063595
4, 661121, 3.063595
4, 792072, 3.063595
4, 716195, 2.753383
4, 642660, 2.749783
4, 645988, 2.744998
4, 661653, 2.744998
4, 663858, 2.744998
5, 639535, 3.313150
5, 640383, 2.933460
5, 649931, 2.927146
5, 665029, 2.901421
5, 716290, 2.901421
5, 716424, 2.901421
5, 658607, 2.605289
5, 635059, 2.597861
5, 775585, 2.584882
5, 634992, 2.569458
6, 665029, 3.022449
6, 635058, 2.633553
6, 636422, 2.633553
6, 661066, 2.633553
6, 652417, 2.627222
6, 651729, 2.595221
6, 646524, 2.578992
6, 641958, 2.304736
6, 641227, 2.292956
6, 792072, 2.285789
7, 632252, 2.458208
7, 716627, 2.458208
7, 646524, 2.436424
7, 642660, 2.068356
7, 716424, 2.064527
7, 661121, 2.063920
7, 660231, 2.050521
7, 663150, 2.050521
7, 645988, 2.048200
7, 643505, 2.047462
8, 716424, 3.084219
8, 634992, 3.039557
8, 643505, 2.735380
8, 632252, 2.730781
8, 651729, 2.726122
8, 716413, 2.684819
8, 649931, 2.674401
8, 641005, 2.667515
8, 645988, 2.663193
8, 647830, 2.663193
9, 636422, 3.232288
9, 641057, 3.232288
9, 646524, 3.226018
9, 645988, 3.176612
9, 634992, 2.847890
9, 658509, 2.847890
9, 716198, 2.805205
9, 782585, 2.786154
9, 644387, 2.776618
9, 716413, 2.776618
10, 660146, 2.632982
10, 634992, 2.195373
10, 645988, 2.154438
10, 651729, 2.154438
10, 661066, 2.154438
10, 636901, 2.123325
10, 642540, 2.123325
10, 642660, 2.123325
